Date,Open,tomo prediction,Pos,prediction,last
2019-05-13,333.7900085449219,1,1,1.0,1.0
2019-05-14,330.3999938964844,1,1,1.0,1.0
2019-05-15,338.1099853515625,1,1,1.0,1.0
2019-05-16,356.80999755859375,1,0,1.0,1.0
2019-05-17,372.3999938964844,1,0,1.0,1.0
2019-05-21,366.0299987792969,1,0,1.0,1.0
2019-05-23,370.0,1,1,1.0,1.0
2019-05-24,369.55999755859375,1,1,1.0,1.0
2019-05-28,376.1600036621094,1,0,1.0,1.0
2019-05-29,377.75,1,1,1.0,1.0
2019-05-30,370.8900146484375,1,0,1.0,1.0
2019-05-31,369.8800048828125,1,0,1.0,1.0
2019-06-03,371.8500061035156,1,1,1.0,1.0
2019-06-04,361.6400146484375,1,1,1.0,1.0
2019-06-05,372.8299865722656,0,1,1.0,1.0
2019-06-06,392.1499938964844,1,1,0.0,1.0
2019-06-07,398.0400085449219,1,1,1.0,0.0
2019-06-10,408.70001220703125,1,1,1.0,1.0
2019-06-11,411.9200134277344,1,1,1.0,1.0
2019-06-12,405.20001220703125,1,0,1.0,1.0
2019-06-13,417.2300109863281,1,0,1.0,1.0
2019-06-14,408.3900146484375,1,1,1.0,1.0
2019-06-17,408.9400024414063,1,0,1.0,1.0
2019-06-18,415.75,1,1,1.0,1.0
2019-06-19,409.239990234375,1,0,1.0,1.0
2019-06-20,438.1300048828125,1,0,1.0,1.0
2019-06-21,432.7999877929688,1,0,1.0,1.0
2019-06-24,427.80999755859375,1,0,1.0,1.0
2019-06-25,402.8999938964844,1,1,1.0,1.0
2019-06-26,380.0,1,1,1.0,1.0
2019-06-27,379.4599914550781,1,0,1.0,1.0
2019-06-28,397.7200012207031,1,1,1.0,1.0
2019-07-02,399.2099914550781,1,1,1.0,1.0
2019-07-03,408.6300048828125,1,0,1.0,1.0
2019-07-05,408.3299865722656,1,1,1.0,1.0
2019-07-08,409.7999877929688,1,1,1.0,1.0
2019-07-09,423.2099914550781,1,0,1.0,1.0
2019-07-10,425.0499877929688,1,0,1.0,1.0
2019-07-11,416.8599853515625,1,0,1.0,1.0
2019-07-12,410.9599914550781,1,1,1.0,1.0
2019-07-15,403.739990234375,1,0,1.0,1.0
2019-07-16,422.6000061035156,1,1,1.0,1.0
2019-07-17,417.9400024414063,1,1,1.0,1.0
2019-07-18,424.3800048828125,1,0,1.0,1.0
2019-07-19,435.1499938964844,1,1,1.0,1.0
2019-07-22,434.17999267578125,1,0,1.0,1.0
2019-07-23,443.8699951171875,1,0,1.0,1.0
2019-07-24,433.760009765625,1,1,1.0,1.0
2019-07-25,434.5,1,1,1.0,1.0
2019-07-26,441.3900146484375,1,0,1.0,1.0
2019-07-29,445.1499938964844,1,0,1.0,1.0
2019-07-30,414.7999877929688,1,1,1.0,1.0
2019-07-31,415.8599853515625,1,1,1.0,1.0
2019-08-01,441.7999877929688,1,0,1.0,1.0
2019-08-02,450.1000061035156,1,1,1.0,1.0
2019-08-06,435.0,1,1,1.0,1.0
2019-08-07,436.4599914550781,1,1,1.0,1.0
2019-08-08,456.2900085449219,1,1,1.0,1.0
2019-08-09,468.6499938964844,1,0,1.0,1.0
2019-08-12,483.5400085449219,1,1,1.0,1.0
2019-08-13,483.9800109863281,0,0,1.0,1.0
2019-08-14,476.92999267578125,1,0,0.0,1.0
2019-08-15,473.1600036621094,1,1,1.0,0.0
2019-08-16,475.6900024414063,1,1,1.0,1.0
2019-08-19,482.7999877929688,1,1,1.0,1.0
2019-08-20,481.0,1,1,1.0,1.0
2019-08-21,506.7999877929688,1,0,1.0,1.0
2019-08-22,520.0,1,0,1.0,1.0
2019-08-23,524.5599975585939,1,1,1.0,1.0
2019-08-26,515.739990234375,1,1,1.0,1.0
2019-08-27,533.5700073242189,1,0,1.0,1.0
2019-08-28,540.6199951171875,1,0,1.0,1.0
2019-08-29,533.3699951171875,1,0,1.0,1.0
2019-08-30,524.2100219726561,0,0,1.0,1.0
2019-09-03,511.1099853515625,1,0,0.0,1.0
2019-09-04,519.7999877929689,1,1,1.0,0.0
2019-09-05,515.5900268554689,1,0,1.0,1.0
2019-09-06,517.3499755859375,1,0,1.0,1.0
2019-09-09,504.7900085449219,0,0,1.0,1.0
2019-09-10,464.989990234375,1,1,0.0,1.0
2019-09-11,444.7200012207031,1,1,1.0,0.0
2019-09-12,467.05999755859375,1,0,1.0,1.0
2019-09-13,474.7999877929688,1,0,1.0,1.0
2019-09-16,435.0,1,0,1.0,1.0
2019-09-17,432.9700012207031,1,0,1.0,1.0
2019-09-18,439.0,1,0,1.0,1.0
2019-09-19,435.0,1,0,1.0,1.0
2019-09-20,431.5199890136719,1,0,1.0,1.0
2019-09-23,420.239990234375,1,0,1.0,1.0
2019-09-24,414.760009765625,1,1,1.0,1.0
2019-09-25,385.20001220703125,0,0,1.0,1.0
2019-09-26,418.3599853515625,1,0,0.0,1.0
2019-09-27,415.75,1,1,1.0,0.0
2019-09-30,404.8699951171875,1,1,1.0,1.0
2019-10-01,414.2699890136719,1,0,1.0,1.0
2019-10-02,411.0,1,1,1.0,1.0
2019-10-03,413.2099914550781,1,1,1.0,1.0
2019-10-04,435.3900146484375,1,0,1.0,1.0
2019-10-07,434.0799865722656,1,0,1.0,1.0
2019-10-08,430.0,1,1,1.0,1.0
2019-10-09,417.2999877929688,1,1,1.0,1.0
2019-10-10,417.010009765625,1,1,1.0,1.0
2019-10-11,439.8999938964844,1,1,1.0,1.0
2019-10-15,459.0,1,0,1.0,1.0
2019-10-16,453.6000061035156,1,1,1.0,1.0
2019-10-17,429.7200012207031,1,0,1.0,1.0
2019-10-18,438.5,1,1,1.0,1.0
2019-10-21,415.0499877929688,1,0,1.0,1.0
2019-10-22,422.1099853515625,1,0,1.0,1.0
2019-10-23,391.7999877929688,1,1,1.0,1.0
2019-10-24,394.2099914550781,1,0,1.0,1.0
2019-10-25,415.5,1,1,1.0,1.0
2019-10-28,423.7999877929688,1,0,1.0,1.0
2019-10-29,400.0,0,1,1.0,1.0
2019-10-30,409.3800048828125,1,0,0.0,1.0
2019-10-31,417.9700012207031,1,1,1.0,0.0
2019-11-01,417.0,1,0,1.0,1.0
2019-11-04,421.0299987792969,1,0,1.0,1.0
2019-11-05,405.9100036621094,1,0,1.0,1.0
2019-11-06,389.1900024414063,1,0,1.0,1.0
2019-11-07,389.989990234375,1,1,1.0,1.0
2019-11-08,372.010009765625,1,1,1.0,1.0
2019-11-11,393.6900024414063,1,1,1.0,1.0
2019-11-12,402.6199951171875,1,1,1.0,1.0
2019-11-13,402.7699890136719,1,0,1.0,1.0
2019-11-14,416.5199890136719,1,0,1.0,1.0
2019-11-15,417.0,1,1,1.0,1.0
2019-11-18,413.17999267578125,1,0,1.0,1.0
2019-11-19,430.5,1,1,1.0,1.0
2019-11-20,417.55999755859375,1,0,1.0,1.0
2019-11-21,424.05999755859375,1,0,1.0,1.0
2019-11-22,421.1400146484375,1,1,1.0,1.0
2019-11-25,419.30999755859375,1,1,1.0,1.0
2019-11-26,422.6700134277344,1,1,1.0,1.0
2019-11-27,449.70001220703125,1,0,1.0,1.0
2019-11-29,452.8800048828125,1,0,1.0,1.0
2019-12-02,447.17999267578125,1,1,1.0,1.0
2019-12-03,427.2699890136719,1,1,1.0,1.0
2019-12-04,464.3900146484375,1,0,1.0,1.0
2019-12-05,490.510009765625,1,1,1.0,1.0
2019-12-06,487.0,1,1,1.0,1.0
2019-12-09,484.20001220703125,1,0,1.0,1.0
2019-12-10,494.0,1,1,1.0,1.0
2019-12-11,487.5,1,0,1.0,1.0
2019-12-12,491.6499938964844,1,1,1.0,1.0
2019-12-13,488.9400024414063,1,1,1.0,1.0
2019-12-16,513.97998046875,1,0,1.0,1.0
2019-12-17,517.2000122070311,1,1,1.0,1.0
2019-12-18,513.0,1,0,1.0,1.0
2019-12-19,520.989990234375,1,0,1.0,1.0
2019-12-20,516.2000122070311,1,0,1.0,1.0
2019-12-23,516.8300170898439,1,1,1.0,1.0
2019-12-24,512.4600219726561,1,1,1.0,1.0
2019-12-27,539.969970703125,1,0,1.0,1.0
2019-12-30,535.3599853515625,1,0,1.0,1.0
2019-12-31,514.3900146484375,1,1,1.0,1.0
2020-01-02,524.8200073242189,1,0,1.0,1.0
2020-01-03,521.0599975585939,1,1,1.0,1.0
2020-01-06,517.6099853515625,1,1,1.0,1.0
2020-01-07,537.4199829101561,1,1,1.0,1.0
2020-01-08,540.1900024414061,1,1,1.0,1.0
2020-01-09,552.1099853515625,1,0,1.0,1.0
2020-01-10,565.0,1,1,1.0,1.0
2020-01-13,566.219970703125,1,1,1.0,1.0
2020-01-14,576.72998046875,1,1,1.0,1.0
2020-01-15,577.9099731445312,1,1,1.0,1.0
2020-01-16,592.530029296875,1,1,1.0,1.0
2020-01-17,590.77001953125,1,1,1.0,1.0
2020-01-21,595.3900146484375,1,1,1.0,1.0
2020-01-22,616.0,1,1,1.0,1.0
2020-01-23,610.010009765625,1,0,1.0,1.0
2020-01-24,620.3800048828125,1,0,1.0,1.0
2020-01-27,591.1400146484375,1,1,1.0,1.0
2020-01-28,599.6500244140625,1,1,1.0,1.0
2020-01-29,624.2999877929688,1,1,1.0,1.0
2020-01-30,622.280029296875,1,0,1.0,1.0
2020-01-31,635.2000122070312,1,1,1.0,1.0
2020-02-03,620.4099731445312,1,1,1.0,1.0
2020-02-04,633.0999755859375,1,0,1.0,1.0
2020-02-05,657.6199951171875,1,0,1.0,1.0
2020-02-06,630.0,1,1,1.0,1.0
2020-02-07,626.4000244140625,1,1,1.0,1.0
2020-02-10,636.1900024414062,1,1,1.0,1.0
2020-02-11,657.4000244140625,1,1,1.0,1.0
2020-02-12,752.25,1,1,1.0,1.0
2020-02-13,705.3900146484375,1,0,1.0,1.0
2020-02-14,713.2100219726562,1,1,1.0,1.0
2020-02-18,707.9000244140625,1,1,1.0,1.0
2020-02-19,719.739990234375,1,0,1.0,1.0
2020-02-20,716.989990234375,1,0,1.0,1.0
2020-02-21,705.75,1,0,1.0,1.0
2020-02-24,629.1099853515625,1,0,1.0,1.0
2020-02-25,660.4000244140625,1,1,1.0,1.0
2020-02-26,609.5999755859375,1,0,1.0,1.0
2020-02-27,604.760009765625,1,1,1.0,1.0
2020-02-28,570.4500122070312,1,1,1.0,1.0
2020-03-02,647.3400268554688,1,0,1.0,1.0
2020-03-03,673.8200073242188,1,1,1.0,1.0
2020-03-04,653.2999877929688,0,0,1.0,1.0
2020-03-05,661.8599853515625,1,0,0.0,1.0
2020-03-06,642.27001953125,1,0,1.0,0.0
2020-03-09,570.0,1,1,1.0,1.0
2020-03-10,603.8900146484375,0,0,1.0,1.0
2020-03-11,598.3699951171875,1,0,0.0,1.0
2020-03-12,510.0499877929688,1,1,1.0,0.0
2020-03-13,557.72998046875,1,0,1.0,1.0
2020-03-16,474.0499877929688,1,1,1.0,1.0
2020-03-17,464.0700073242188,0,0,1.0,1.0
2020-03-18,465.0,1,0,0.0,1.0
2020-03-19,482.9700012207031,1,1,1.0,0.0
2020-03-20,491.67999267578125,1,1,1.0,1.0
2020-03-23,502.7999877929688,0,1,1.0,1.0
2020-03-24,594.030029296875,1,1,0.0,1.0
2020-03-25,628.989990234375,1,0,1.0,0.0
2020-03-26,635.3699951171875,0,0,1.0,1.0
2020-03-27,600.8900146484375,1,1,0.0,1.0
2020-03-30,600.3200073242188,1,0,1.0,0.0
2020-03-31,610.5,1,0,1.0,1.0
2020-04-01,572.9299926757812,1,0,1.0,1.0
2020-04-02,497.260009765625,0,1,1.0,1.0
2020-04-03,500.20001220703125,1,1,0.0,1.0
2020-04-06,538.0,0,0,1.0,0.0
2020-04-07,573.7999877929688,1,1,0.0,1.0
2020-04-08,536.989990234375,0,1,1.0,0.0
2020-04-09,589.3800048828125,1,1,0.0,1.0
2020-04-13,587.8900146484375,0,1,1.0,0.0
2020-04-14,651.7899780273438,1,1,0.0,1.0
2020-04-15,676.5700073242188,1,1,1.0,0.0
