Date,Open,tomo prediction,Pos,prediction,last
2017-09-25,19.38198496988747,0,0,1.0,1.0
2017-09-26,19.564835315718508,1,0,0.0,1.0
2017-09-27,19.40123356909616,1,0,1.0,0.0
2017-09-28,19.53596708146734,0,0,1.0,1.0
2017-09-29,19.430104033214864,1,1,0.0,1.0
2017-10-02,19.24725640146199,0,1,1.0,0.0
2017-10-03,19.391612149443425,0,1,0.0,1.0
2017-10-04,19.68994012696345,1,1,0.0,0.0
2017-10-05,19.776552114674352,1,1,1.0,0.0
2017-10-06,19.815050479861032,0,1,1.0,1.0
2017-10-10,20.209616516705236,1,1,0.0,1.0
2017-10-11,20.074890054286218,0,0,1.0,0.0
2017-10-12,20.16149983860593,0,1,0.0,1.0
2017-10-13,20.14224950805466,1,0,0.0,0.0
2017-10-16,20.074890765809123,0,0,1.0,0.0
2017-10-17,19.48784754814695,1,0,0.0,1.0
2017-10-18,19.535963876132325,1,0,1.0,0.0
2017-10-19,19.564834221520602,0,1,1.0,1.0
2017-10-20,19.372363939681584,1,1,0.0,1.0
2017-10-23,19.37236121945178,0,0,1.0,0.0
2017-10-24,19.584080632975162,1,1,0.0,1.0
2017-10-25,19.372364022129855,1,0,1.0,0.0
2017-10-26,19.16064344213045,0,1,1.0,1.0
2017-10-27,18.10204504859217,1,1,0.0,1.0
2017-10-30,18.121293378078114,0,0,1.0,0.0
2017-10-31,18.111667830093012,1,0,0.0,1.0
2017-11-01,18.005808373028053,0,0,1.0,0.0
2017-11-02,17.563120712487553,1,0,0.0,1.0
2017-11-03,17.332153420775015,1,0,1.0,0.0
2017-11-06,17.2840336301677,1,1,1.0,1.0
2017-11-07,17.168552310433626,0,0,1.0,1.0
2017-11-08,17.32252965991321,0,1,0.0,1.0
2017-11-09,17.197423222587098,0,0,0.0,0.0
2017-11-10,17.226295046850222,0,1,0.0,0.0
2017-11-13,17.081940961711563,1,1,0.0,0.0
2017-11-14,17.0338209311975,0,0,1.0,0.0
2017-11-15,17.312905172670025,1,1,0.0,1.0
2017-11-17,17.178174175221052,0,0,1.0,0.0
2017-11-20,17.22629182130849,1,1,0.0,1.0
2017-11-21,17.13968276977539,1,1,1.0,0.0
2017-11-22,17.178174175221052,0,1,1.0,1.0
2017-11-27,17.505377454647597,1,0,0.0,1.0
2017-11-28,17.56311870080271,0,0,1.0,0.0
2017-11-29,17.445625241859627,1,0,0.0,1.0
2017-11-30,17.15631530088777,1,1,1.0,0.0
2017-12-01,16.973081278677434,0,0,1.0,1.0
2017-12-04,17.16595546693243,1,0,0.0,1.0
2017-12-05,16.924861918252947,1,0,1.0,0.0
2017-12-06,16.780203795418238,1,1,1.0,1.0
2017-12-07,16.461959224743225,0,0,1.0,1.0
2017-12-08,16.97308106707634,1,0,0.0,1.0
2017-12-11,16.924862438621425,0,1,1.0,0.0
2017-12-12,16.847711610509794,1,1,0.0,1.0
2017-12-13,16.982725434568255,0,0,1.0,0.0
2017-12-14,17.45527070709925,1,1,0.0,1.0
2017-12-15,17.522777498394642,1,1,1.0,0.0
2017-12-18,17.599927085053878,0,0,1.0,1.0
2017-12-19,17.792806051392688,1,1,0.0,1.0
2017-12-20,17.792802867546865,0,0,1.0,0.0
2017-12-21,17.744582673993584,1,1,0.0,1.0
2017-12-22,17.82172958805736,0,0,1.0,0.0
2017-12-27,17.773517041284684,0,0,0.0,1.0
2017-12-28,17.696363258884105,0,1,0.0,0.0
2017-12-29,17.484199127166182,1,1,0.0,0.0
2018-01-02,17.66743282884513,0,0,1.0,0.0
2018-01-03,18.400363257589397,0,0,0.0,1.0
2018-01-04,18.139979400453647,0,0,0.0,0.0
2018-01-05,17.937458434485983,1,0,0.0,0.0
2018-01-08,17.831378847533873,0,0,1.0,0.0
2018-01-09,17.542065068588492,0,1,0.0,1.0
2018-01-10,17.667432791201424,0,1,0.0,0.0
2018-01-11,17.69636870764071,1,1,0.0,0.0
2018-01-12,17.90852617576508,0,0,1.0,0.0
2018-01-16,18.371427872467336,1,0,0.0,1.0
2018-01-17,18.10140371993511,1,0,1.0,0.0
2018-01-18,17.638504556527746,1,1,1.0,1.0
2018-01-19,17.339545741029813,1,1,1.0,1.0
2018-01-22,17.339543435805272,0,1,1.0,1.0
2018-01-23,17.38776520419481,0,1,0.0,1.0
2018-01-24,18.082119379031514,0,0,0.0,0.0
2018-01-25,17.93746407658164,0,0,0.0,0.0
2018-01-26,17.628860426166185,1,0,0.0,0.0
2018-01-30,17.146670204293493,1,1,1.0,0.0
2018-01-31,17.06952141335187,0,1,1.0,1.0
2018-02-01,16.96343859766149,0,0,0.0,1.0
2018-02-02,16.88629280194919,1,1,0.0,0.0
2018-02-05,16.62590444804043,1,0,1.0,0.0
2018-02-06,16.365521420488427,1,0,1.0,1.0
2018-02-07,16.124428353221038,1,0,1.0,1.0
2018-02-08,16.230510630173526,1,0,1.0,1.0
2018-02-09,15.99905620821753,0,1,1.0,1.0
2018-02-12,15.979769777144373,0,0,0.0,1.0
2018-02-13,16.143713868617482,1,1,0.0,0.0
2018-02-14,16.056918967960442,0,0,1.0,0.0
2018-02-15,16.5005341779708,1,0,0.0,1.0
2018-02-16,15.902621786078795,1,0,1.0,0.0
2018-02-20,15.767609012381152,1,0,1.0,1.0
2018-02-21,15.786895023339115,0,0,1.0,1.0
2018-02-22,15.545799994747753,0,0,0.0,1.0
2018-02-23,15.208265476226773,1,1,0.0,0.0
2018-02-26,14.957529503706356,1,0,1.0,0.0
2018-02-27,14.839654491020331,0,0,1.0,1.0
2018-02-28,14.520627055620231,1,0,0.0,1.0
2018-03-01,14.20159761866093,0,1,1.0,0.0
2018-03-02,14.220935401025582,0,1,0.0,1.0
2018-03-05,14.414284412384706,0,1,0.0,0.0
2018-03-06,14.781650896345939,0,0,0.0,0.0
2018-03-07,14.752648903431716,1,1,0.0,0.0
2018-03-08,14.539961307857466,0,0,1.0,0.0
2018-03-09,14.607633488153859,1,1,0.0,1.0
