Date,Open,tomo prediction,Dividends,Pos,prediction,last
2017-09-26,41.508064514948494,1,0.0,1,1.0,1.0
2017-09-27,41.57309454767209,1,0.0,1,1.0,1.0
2017-09-28,42.00394632306167,1,0.0,1,1.0,1.0
2017-09-29,42.04459341952441,1,0.0,1,1.0,1.0
2017-10-02,42.386022983169994,1,0.0,1,1.0,1.0
2017-10-03,42.51608061791686,1,0.0,0,1.0,1.0
2017-10-04,42.638027291640356,1,0.0,0,1.0,1.0
2017-10-05,42.556735294044955,1,0.0,0,1.0,1.0
2017-10-06,42.272207100137315,1,0.0,0,1.0,1.0
2017-10-10,42.21530966717906,1,0.0,1,1.0,1.0
2017-10-11,42.18279117167255,1,0.0,0,1.0,1.0
2017-10-12,42.10149721114174,1,0.0,1,1.0,1.0
2017-10-13,42.25595008069744,1,0.0,1,1.0,1.0
2017-10-16,42.20717472226734,1,0.0,0,1.0,1.0
2017-10-17,42.34537653330627,1,0.0,0,1.0,1.0
2017-10-18,42.085238850486434,1,0.0,0,1.0,1.0
2017-10-19,40.98778426306162,1,0.0,0,1.0,1.0
2017-10-20,41.060952855700954,1,0.0,0,1.0,1.0
2017-10-23,40.54881287595937,1,0.0,0,1.0,1.0
2017-10-24,40.248020719306545,1,0.0,0,1.0,1.0
2017-10-25,40.109831423119424,1,0.0,1,1.0,1.0
2017-10-26,39.59767765518357,1,0.0,1,1.0,1.0
2017-10-27,39.76026377176595,1,0.0,1,1.0,1.0
2017-10-30,40.1829890020132,1,0.0,1,1.0,1.0
2017-10-31,40.32118745551141,1,0.0,0,1.0,1.0
2017-11-01,40.61383318545104,1,0.0,0,1.0,1.0
2017-11-02,39.906595210991675,1,0.0,0,1.0,1.0
2017-11-03,38.41080824277532,1,0.0,0,1.0,1.0
2017-11-06,38.297002915977394,1,0.0,1,1.0,1.0
2017-11-07,38.15880014406513,1,0.0,0,1.0,1.0
2017-11-08,38.20757401880907,1,0.0,0,1.0,1.0
2017-11-09,38.0449951789406,1,0.0,0,1.0,1.0
2017-11-10,37.80923965747538,1,0.0,0,1.0,1.0
2017-11-13,37.63040514764479,1,0.0,0,1.0,1.0
2017-11-14,37.56612436896469,1,0.61,0,1.0,1.0
2017-11-15,36.58578629108165,1,0.0,0,1.0,1.0
2017-11-16,36.32215927997739,1,0.0,1,1.0,1.0
2017-11-17,36.45397494681024,1,0.0,1,1.0,1.0
2017-11-20,37.34369130358952,1,0.0,1,1.0,1.0
2017-11-21,38.14280086668849,1,0.0,0,1.0,1.0
2017-11-22,39.123134853585135,1,0.0,0,1.0,1.0
2017-11-27,39.040754831123294,1,0.0,1,1.0,1.0
2017-11-28,38.422896200661825,1,0.0,0,1.0,1.0
2017-11-29,38.299324352782776,1,0.0,1,1.0,1.0
2017-11-30,40.36710489029277,0,0.0,0,1.0,1.0
2017-12-01,40.1446822432964,1,0.0,1,0.0,1.0
2017-12-04,40.062290999882826,1,0.0,1,1.0,0.0
2017-12-05,40.095243830076384,1,0.0,0,1.0,1.0
2017-12-06,40.11172077502669,1,0.0,1,1.0,1.0
2017-12-07,40.185868303127855,1,0.0,0,1.0,1.0
