Date,Open,tomo prediction,Dividends,Pos,prediction,last
2017-09-29,83.63146296556971,1,0.0,1,1.0,1.0
2017-10-02,84.17955666244444,1,0.0,1,1.0,1.0
2017-10-03,84.71893916716019,1,0.0,0,1.0,1.0
2017-10-04,85.13652771857838,1,0.0,1,1.0,1.0
2017-10-05,85.0582394664474,1,0.0,0,1.0,1.0
2017-10-06,85.42363465825206,1,0.0,1,1.0,1.0
2017-10-10,85.38882060247492,1,0.0,1,1.0,1.0
2017-10-11,85.60631481924996,1,0.0,0,1.0,1.0
2017-10-12,86.11091944641291,1,0.0,1,1.0,1.0
2017-10-13,85.74552685223917,1,0.0,1,1.0,1.0
2017-10-16,86.2849131237942,1,0.0,1,1.0,1.0
2017-10-17,86.56330585385145,1,0.0,1,1.0,1.0
2017-10-18,86.91130857510866,1,0.0,1,1.0,1.0
2017-10-19,86.85909137092129,1,0.0,1,1.0,1.0
2017-10-20,88.08576374095513,1,0.0,1,1.0,1.0
2017-10-23,88.30326569235291,1,0.0,1,1.0,1.0
2017-10-24,88.52075604461395,1,0.0,0,1.0,1.0
2017-10-25,88.77257567142436,1,0.91,1,1.0,1.0
2017-10-26,88.24589441224524,1,0.0,1,1.0,1.0
2017-10-27,88.5706962515699,1,0.0,0,1.0,1.0
2017-10-30,88.71115223099224,1,0.0,0,1.0,1.0
2017-10-31,88.70237040431448,1,0.0,0,1.0,1.0
2017-11-01,88.65848669796615,1,0.0,1,1.0,1.0
2017-11-02,88.10546312376538,1,0.0,1,1.0,1.0
2017-11-03,88.79014054616512,1,0.0,0,1.0,1.0
2017-11-06,89.07982242679005,1,0.0,0,1.0,1.0
2017-11-07,88.96570587158203,1,0.0,0,1.0,1.0
2017-11-08,88.92182192485849,1,0.0,0,1.0,1.0
2017-11-09,88.23712793726769,1,0.0,0,1.0,1.0
2017-11-10,88.12300935065346,1,0.0,1,1.0,1.0
2017-11-13,87.34176423112001,1,0.0,0,1.0,1.0
2017-11-14,87.29787434712708,1,0.0,0,1.0,1.0
2017-11-15,87.29786378597154,1,0.0,1,1.0,1.0
2017-11-17,88.32492290540219,1,0.0,1,1.0,1.0
2017-11-20,88.36879384342087,1,0.0,0,1.0,1.0
2017-11-21,89.08859107754635,1,0.0,1,1.0,1.0
2017-11-22,88.73746460270391,1,0.0,1,1.0,1.0
2017-11-24,88.89548209810745,1,0.0,0,1.0,1.0
2017-11-27,88.90425494011944,1,0.0,0,1.0,1.0
2017-11-28,88.38636050194492,1,0.0,1,1.0,1.0
2017-11-29,88.64094041106358,1,0.0,0,1.0,1.0
2017-11-30,89.0359238698432,1,0.0,1,1.0,1.0
2017-12-01,88.56191575221678,1,0.0,1,1.0,1.0
2017-12-04,89.31683249235027,1,0.0,0,1.0,1.0
2017-12-05,88.6321528343594,1,0.0,1,1.0,1.0
2017-12-06,88.40391215753256,1,0.0,1,1.0,1.0
2017-12-07,89.22028056317627,1,0.0,1,1.0,1.0
2017-12-08,89.5275023813897,1,0.0,0,1.0,1.0
2017-12-11,89.97519098210527,1,0.0,1,1.0,1.0
2017-12-12,89.54506423512274,1,0.0,1,1.0,1.0
2017-12-13,89.93129408210207,1,0.0,0,1.0,1.0
2017-12-14,89.45728816980555,1,0.0,1,1.0,1.0
2017-12-15,89.28171822127857,1,0.0,1,1.0,1.0
2017-12-18,89.82595676060937,1,0.0,1,1.0,1.0
2017-12-19,90.30873528917942,1,0.0,0,1.0,1.0
2017-12-20,90.5369866469358,1,0.0,1,1.0,1.0
2017-12-21,89.86984707891581,1,0.0,0,1.0,1.0
2017-12-22,90.26486814763891,1,0.0,0,1.0,1.0
2017-12-27,89.73817294669372,1,0.0,1,1.0,1.0
2017-12-28,89.87862679112959,1,0.0,1,1.0,1.0
2017-12-29,90.10684967041014,1,0.0,1,1.0,1.0
2018-01-02,90.06297009158385,1,0.0,1,1.0,1.0
2018-01-03,90.41408797927895,1,0.0,1,1.0,1.0
2018-01-04,91.70445820473059,1,0.0,0,1.0,1.0
2018-01-05,92.08194248790512,1,0.0,0,1.0,1.0
2018-01-08,92.16969167912512,1,0.0,1,1.0,1.0
2018-01-09,91.83613163708063,1,0.0,1,1.0,1.0
2018-01-10,91.91513737077179,1,0.0,1,1.0,1.0
2018-01-11,92.36281396129714,1,0.0,1,1.0,1.0
2018-01-12,92.12581247142872,1,0.0,1,1.0,1.0
2018-01-16,92.99485144251958,1,0.0,1,1.0,1.0
2018-01-17,93.02118648191076,1,0.0,1,1.0,1.0
2018-01-18,93.48640193027742,1,0.0,1,1.0,1.0
2018-01-19,94.11844675594747,1,0.0,1,1.0,1.0
2018-01-22,94.60122388246236,1,0.0,0,1.0,1.0
2018-01-23,94.87336261851976,1,0.0,0,1.0,1.0
2018-01-24,94.08195965792842,1,0.91,1,1.0,1.0
2018-01-25,94.66440802696755,1,0.91,1,1.0,1.0
2018-01-26,93.99466546949364,1,0.0,0,1.0,1.0
2018-01-29,94.11075624534222,1,0.0,1,1.0,1.0
2018-01-30,93.3874446613438,1,0.0,0,1.0,1.0
2018-01-31,94.08396815472892,1,0.0,0,1.0,1.0
2018-02-01,93.86966260016467,1,0.0,0,1.0,1.0
2018-02-02,93.08382310746825,0,0.0,0,1.0,1.0
2018-02-05,91.17286143007463,0,0.0,1,0.0,1.0
2018-02-06,87.8867003488633,0,0.0,0,0.0,0.0
2018-02-07,90.82459403684568,1,0.0,0,0.0,0.0
2018-02-08,90.27094660868313,0,0.0,0,1.0,0.0
2018-02-09,88.82433435506529,1,0.0,1,0.0,1.0
2018-02-12,89.25295759006687,1,0.0,1,1.0,0.0
2018-02-13,88.76182067930486,1,0.0,1,1.0,1.0
2018-02-14,89.02972117063082,0,0.0,1,1.0,1.0
2018-02-15,90.86925248794113,1,0.0,0,0.0,1.0
2018-02-16,90.01199414663401,1,0.0,1,1.0,0.0
2018-02-20,89.5208560956768,1,0.0,1,1.0,1.0
2018-02-21,90.09236008863465,0,0.0,0,1.0,1.0
2018-02-22,92.44980557843228,1,0.0,1,0.0,1.0
2018-02-23,91.9854614596107,1,0.0,0,1.0,0.0
2018-02-26,92.13726798952769,1,0.0,1,1.0,1.0
2018-02-27,91.28894055030884,1,0.0,0,1.0,1.0
2018-02-28,91.97653793172987,1,0.0,0,1.0,1.0
2018-03-01,90.49419104960053,1,0.0,0,1.0,1.0
2018-03-02,89.0654282753837,1,0.0,1,1.0,1.0
2018-03-05,89.03864645101034,1,0.0,0,1.0,1.0
2018-03-06,90.40489729027351,1,0.0,0,1.0,1.0
2018-03-07,89.39583955918656,1,0.0,1,1.0,1.0
2018-03-08,90.02091790520375,1,0.0,1,1.0,1.0
2018-03-09,91.28893961783193,1,0.0,1,1.0,1.0
2018-03-12,90.81566673719108,1,0.0,0,1.0,1.0
2018-03-13,91.08356229261022,1,0.0,0,1.0,1.0
2018-03-14,91.36931845652164,1,0.0,1,1.0,1.0
2018-03-15,90.90498231041391,1,0.0,1,1.0,1.0
2018-03-16,91.34252028044119,1,0.0,0,1.0,1.0
2018-03-19,91.30680210910437,0,0.0,1,1.0,1.0
2018-03-20,91.29787176339615,1,0.0,0,0.0,1.0
2018-03-21,91.54790527622959,1,0.0,0,1.0,0.0
2018-03-22,90.90497332423176,0,0.0,0,1.0,1.0
2018-03-23,89.79767179349605,1,0.0,1,0.0,1.0
2018-03-26,89.74408863269119,1,0.0,0,1.0,0.0
2018-03-27,89.28867406140107,1,0.0,0,1.0,1.0
2018-03-28,88.27961190898476,1,0.0,1,1.0,1.0
2018-03-29,88.59215999080996,1,0.0,0,1.0,1.0
2018-04-02,88.9047087734067,1,0.0,0,1.0,1.0
2018-04-03,88.42248668051339,1,0.0,0,1.0,1.0
2018-04-04,86.87765718143976,1,0.0,1,1.0,1.0
2018-04-05,87.5116684588064,1,0.0,0,1.0,1.0
2018-04-06,87.33306182370514,1,0.0,1,1.0,1.0
2018-04-09,87.2794905882526,1,0.0,1,1.0,1.0
2018-04-10,88.35104537703954,1,0.0,0,1.0,1.0
2018-04-11,87.24375670300103,1,0.0,0,1.0,1.0
2018-04-12,86.9222864769698,1,0.0,0,1.0,1.0
2018-04-13,86.86870581728371,1,0.0,1,1.0,1.0
2018-04-16,85.92214744399311,1,0.0,0,1.0,1.0
2018-04-17,86.65439738176333,1,0.0,1,1.0,1.0
2018-04-18,86.2168387420867,1,0.0,0,1.0,1.0
2018-04-19,86.74369638348196,1,0.0,1,1.0,1.0
2018-04-20,86.44901352445187,1,0.0,1,1.0,1.0
2018-04-23,87.27947814271491,1,0.0,0,1.0,1.0
2018-04-24,87.70116696126316,1,0.94,1,1.0,1.0
2018-04-25,87.02494443780094,1,0.0,1,1.0,1.0
2018-04-26,87.17823076699815,1,0.0,1,1.0,1.0
2018-04-27,87.71920699610827,1,0.0,0,1.0,1.0
2018-04-30,88.49460603264099,1,0.0,1,1.0,1.0
2018-05-01,88.1519822195968,1,0.0,1,1.0,1.0
2018-05-02,87.91757027771902,1,0.0,0,1.0,1.0
2018-05-03,88.15197557615494,1,0.0,1,1.0,1.0
2018-05-04,87.88150685202555,1,0.0,1,1.0,1.0
2018-05-07,88.39542193118322,1,0.0,1,1.0,1.0
2018-05-08,89.16180444196026,1,0.0,1,1.0,1.0
2018-05-09,89.57655579073956,1,0.0,1,1.0,1.0
2018-05-10,89.8560726569891,1,0.0,1,1.0,1.0
2018-05-11,90.23475764368429,1,0.0,1,1.0,1.0
2018-05-14,90.97407850722263,1,0.0,1,1.0,1.0
2018-05-15,91.0642377797737,1,0.0,1,1.0,1.0
2018-05-16,91.04621097127044,1,0.0,0,1.0,1.0
2018-05-17,91.19045700647594,1,0.0,0,1.0,1.0
2018-05-18,91.2445585264068,1,0.0,1,1.0,1.0
2018-05-22,90.82981134083235,1,0.0,0,1.0,1.0
2018-05-23,91.19947962766008,1,0.0,0,1.0,1.0
2018-05-24,91.23555225539656,1,0.0,0,1.0,1.0
2018-05-25,89.2609826362785,1,0.0,0,1.0,1.0
2018-05-29,88.35934906016615,0,0.0,0,1.0,1.0
2018-05-30,87.80033523644255,1,0.0,1,0.0,1.0
2018-05-31,87.35855419791484,1,0.0,1,1.0,0.0
2018-06-01,88.81016637428688,0,0.0,1,1.0,1.0
2018-06-04,88.51263035980354,1,0.0,1,0.0,1.0
2018-06-05,89.57655482445122,1,0.0,0,1.0,0.0
2018-06-06,89.69376643012852,1,0.0,1,1.0,1.0
2018-06-07,89.66671261455477,1,0.0,1,1.0,1.0
2018-06-08,89.4142664664221,1,0.0,1,1.0,1.0
2018-06-11,90.02735533146864,1,0.0,1,1.0,1.0
2018-06-12,90.08145929246055,1,0.0,0,1.0,1.0
2018-06-13,90.15359817544037,1,0.0,0,1.0,1.0
2018-06-14,90.34293440417281,1,0.0,1,1.0,1.0
2018-06-15,90.01834550574749,1,0.0,1,1.0,1.0
2018-06-18,90.03638139168736,1,0.0,0,1.0,1.0
2018-06-19,90.1986879010846,1,0.0,1,1.0,1.0
2018-06-20,90.41506269643244,1,0.0,1,1.0,1.0
2018-06-21,90.44209296943258,1,0.0,1,1.0,1.0
2018-06-22,91.06423826590195,1,0.0,0,1.0,1.0
2018-06-25,91.28062914867107,0,0.0,0,1.0,1.0
